num_of_cluster,word,weights
1,kota-semarang,0.004
1,bpjs-sehat,0.004
1,kerja-umum,0.003
1,dinas-hubung,0.002
1,sehat-kc,0.002
1,kota-bandung,0.002
1,dinas-kerja,0.002
1,tindak-lanjut,0.002
1,dki-jakarta,0.002
1,informasi-dinas,0.002
2,kota-semarang,0.004
2,bpjs-sehat,0.003
2,dinas-kerja,0.002
2,kota-bandung,0.002
2,sehat-kc,0.002
2,dinas-hubung,0.002
2,hubung-kota,0.002
2,informasi-dinas,0.002
2,kerja-umum,0.002
2,informasi-bpjs,0.001
3,kota-semarang,0.004
3,bpjs-sehat,0.004
3,kota-bandung,0.002
3,informasi-bpjs,0.002
3,sehat-kc,0.002
3,tindak-lanjut,0.002
3,kpd-pemprov,0.002
3,umum-kota,0.002
3,atas-nama,0.002
3,pemprov-dki,0.001
4,kota-semarang,0.005
4,bpjs-sehat,0.003
4,kerja-umum,0.002
4,dinas-hubung,0.002
4,sehat-kc,0.002
4,informasi-dinas,0.002
4,kota-bandung,0.002
4,dinas-kerja,0.002
4,atas-nama,0.002
4,dki-jakarta,0.001
5,bpjs-sehat,0.005
5,kota-semarang,0.003
5,sehat-kc,0.003
5,kerja-umum,0.002
5,dki-jakarta,0.002
5,informasi-dinas,0.002
5,pemprov-dki,0.002
5,dinas-kerja,0.002
5,kota-bandung,0.002
5,dinas-hubung,0.002
6,kota-semarang,0.005
6,bpjs-sehat,0.002
6,kerja-umum,0.002
6,dinas-hubung,0.002
6,dinas-kerja,0.002
6,sehat-kc,0.002
6,kota-bandung,0.002
6,hubung-kota,0.002
6,informasi-dinas,0.002
6,umum-kota,0.002
7,bpjs-sehat,0.004
7,kota-semarang,0.003
7,informasi-dinas,0.003
7,kerja-umum,0.002
7,atas-nama,0.002
7,dinas-hubung,0.002
7,pemprov-dki,0.002
7,sehat-kc,0.002
7,kota-bandung,0.002
7,kpd-pemprov,0.002
8,kota-semarang,0.005
8,bpjs-sehat,0.003
8,pemprov-dki,0.002
8,kerja-umum,0.002
8,sehat-kc,0.002
8,dinas-hubung,0.002
8,informasi-bpjs,0.002
8,kota-bandung,0.002
8,dinas-kerja,0.002
8,tindak-lanjut,0.001
9,kota-semarang,0.005
9,bpjs-sehat,0.003
9,kota-bandung,0.002
9,dinas-kerja,0.002
9,dinas-hubung,0.002
9,sehat-kc,0.002
9,kerja-umum,0.002
9,informasi-bpjs,0.002
9,hubung-kota,0.002
9,dki-jakarta,0.002
10,kota-semarang,0.004
10,kerja-umum,0.002
10,bpjs-sehat,0.002
10,dinas-hubung,0.002
10,sehat-kc,0.002
10,dinas-kerja,0.002
10,kota-bandung,0.002
10,informasi-dinas,0.002
10,informasi-bpjs,0.002
10,tindak-lanjut,0.002
